EnchantId,SeniorEnchantConsume,EnchantConsume,LockEntry,等级：策划备注
附魔id,高级附魔消耗（道具ID=数量|道具ID=数量）,初级附魔消耗（道具ID=数量|道具ID=数量）,锁定词条消耗,
1,3021001=5|101=100000,101=80000,1=3021011=1|2=3021010=1|3=3021012=1,70级武器
2,3021001=5|101=100000,101=80000,1=3021011=1|2=3021010=1|3=3021012=1,80级武器
3,3021001=13|101=120000,101=100000,1=3021011=2|2=3021010=2|3=3021012=2,90级武器
4,3021001=18|101=120000,101=140000,1=3021011=3|2=3021010=3|3=3021012=3,100级武器
5,3021001=5|101=100000,101=80000,1=3021011=1|2=3021010=1|3=3021012=1,"65,70级装饰品"
6,3021001=5|101=100000,101=80000,1=3021011=1|2=3021010=1|3=3021012=1,80级装饰品
7,3021001=13|101=120000,101=100000,1=3021011=2|2=3021010=2|3=3021012=2,90级装饰品
8,3021001=18|101=120000,101=140000,1=3021011=3|2=3021010=3|3=3021012=3,100级装饰品
9,3021001=5|101=100000,101=80000,1=3021011=1|2=3021010=1|3=3021012=1,70级铠甲，副手
10,3021001=5|101=100000,101=80000,1=3021011=1|2=3021010=1|3=3021012=1,80级铠甲，副手
11,3021001=13|101=120000,101=100000,1=3021011=2|2=3021010=2|3=3021012=2,90级铠甲，副手
12,3021001=18|101=120000,101=140000,1=3021011=3|2=3021010=3|3=3021012=3,100级铠甲，副手
13,3021001=5|101=100000,101=80000,1=3021011=1|2=3021010=1|3=3021012=1,70级披风
14,3021001=5|101=100000,101=80000,1=3021011=1|2=3021010=1|3=3021012=1,80级披风
15,3021001=13|101=120000,101=100000,1=3021011=2|2=3021010=2|3=3021012=2,90级披风
16,3021001=18|101=120000,101=140000,1=3021011=3|2=3021010=3|3=3021012=3,100级披风
17,3021001=5|101=100000,101=80000,1=3021011=1|2=3021010=1|3=3021012=1,70级鞋子
18,3021001=5|101=100000,101=80000,1=3021011=1|2=3021010=1|3=3021012=1,80级鞋子
19,3021001=13|101=120000,101=100000,1=3021011=2|2=3021010=2|3=3021012=2,90级鞋子
20,3021001=18|101=120000,101=140000,1=3021011=3|2=3021010=3|3=3021012=3,100级鞋子
21,3021001=23|101=150000,101=200000,1=3021011=4|2=3021010=4|3=3021012=4,110级武器
22,3021001=23|101=150000,101=200000,1=3021011=4|2=3021010=4|3=3021012=4,105级装饰品
23,3021001=23|101=150000,101=200000,1=3021011=4|2=3021010=4|3=3021012=4,110级铠甲，副手
24,3021001=23|101=150000,101=200000,1=3021011=4|2=3021010=4|3=3021012=4,110级披风
25,3021001=23|101=150000,101=200000,1=3021011=4|2=3021010=4|3=3021012=4,110级鞋子
